Plant_ID,Height_cm,Leaf_Count,New_Growth_Count,Health_Notes,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score,Plant_Type
Sansevieria cylindrica,17.39,17,8,Yellowing leaves,205,3,3h direct morning sun,21.7,77.5,Organic,82,Fungus gnats,Moderate,51.9,Clay,1,Fern
Aloe vera,9.84,31,9,,191,1,3h direct morning sun,22.6,68.9,,91,Aphids,Low,28.2,Loamy,2,Peace Lily
Ficus lyrata,19.82,40,8,Brittle leaves,477,5,Indirect light all day,17.2,44.3,Liquid feed,90,,High,13.6,Sandy,1,Snake Plant
Monstera deliciosa,37.08,11,1,New bud,207,1,Low light corner,25.0,72.2,Compost,76,Fungus gnats,Low,38.4,Sandy,4,Fern
Ficus lyrata,2.96,26,3,Wilting,465,2,Filtered sunlight through curtain,23.2,51.6,Compost,37,Fungus gnats,Low,37.9,Peaty,1,Spider Plant
Ficus lyrata,14.63,14,6,,375,6,Low light corner,26.9,71.4,Chemical,42,Whiteflies,High,52.5,Clay,4,Fern
Calathea orbifolia,23.73,43,1,Strong stem,420,1,3h direct morning sun,20.7,71.1,Liquid feed,20,Fungus gnats,,59.8,Silty,1,Fern
Anthurium andraeanum,16.23,19,0,Strong stem,393,4,Filtered sunlight through curtain,22.1,39.4,,90,Spider mites,,35.4,Clay,1,Aloe Vera
Ficus lyrata,19.73,19,2,,311,1,6h full sun,19.5,65.1,Liquid feed,61,,Low,27.3,Clay,5,Peace Lily
Anthurium andraeanum,19.88,8,3,,332,3,Filtered sunlight through curtain,21.0,44.5,Liquid feed,45,,High,19.3,Clay,2,Aloe Vera
Nephrolepis exaltata,22.42,36,7,,387,1,Low light corner,20.5,44.9,Compost,69,,,10.2,Peaty,2,Snake Plant
Zamioculcas zamiifolia,17.71,27,5,Wilting,393,6,Indirect light all day,27.0,44.8,,37,Fungus gnats,Moderate,35.5,Loamy,3,Aloe Vera
